Year,inflation_rate
2020,0.73
2019,2.25
2018,1.99
2017,1.87
2016,1.5
2015,1.61
2014,1.47
2013,1.24
2012,0.83
2011,2.3
2010,2.35
2009,1.32
2008,1.16
2007,2.38
2006,1.67
2005,2.09
2004,2.13
2003,2.08
2002,3.8
2001,0.72
2000,3.2
1999,2.63
1998,1
1997,0.78
1996,2.16
1995,1.74
1994,0.23
1993,1.65
1992,2.17
1991,3.75
1990,4.99
1989,5.26
1988,3.88
1987,4.19
1986,4.21
1985,4.4
1984,3.72
1983,4.59
1982,9.27
1981,12.12
1980,11.06
1979,9.76
1978,8.6
1977,9.4
1976,5.63
1975,9.42
1974,12.65
1973,9.38
1972,5.16
1971,4.93
1970,1
1969,4.69
1968,4.35
1967,3.95
1966,3.51
1965,3.01
1964,1.84
1963,1.88
1962,1.91
1961,0
1960,1.29
1959,1.31
1958,2.68
1957,2.05
1956,2.82
1955,0.71
1954,0
1953,0
1952,-1.4
1951,10.85
1950,5.74
