When,Vehicle,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan
01/01/1946,Trucks,0,0,1654,0,0,0,0,0,0,0,0
01/01/1946,Passenger cars,0,0,1102,0,0,0,0,0,0,0,0
01/01/1946,"Total, new motor vehicles",0,0,2756,0,0,0,0,0,0,0,0
02/01/1946,"Total, new motor vehicles",0,0,3763,0,0,0,0,0,0,0,0
02/01/1946,Passenger cars,0,0,1609,0,0,0,0,0,0,0,0
02/01/1946,Trucks,0,0,2154,0,0,0,0,0,0,0,0
03/01/1946,Trucks,0,0,2466,0,0,0,0,0,0,0,0
03/01/1946,Passenger cars,0,0,4734,0,0,0,0,0,0,0,0
03/01/1946,"Total, new motor vehicles",0,0,7200,0,0,0,0,0,0,0,0
04/01/1946,"Total, new motor vehicles",0,0,9645,0,0,0,0,0,0,0,0
04/01/1946,Passenger cars,0,0,5947,0,0,0,0,0,0,0,0
04/01/1946,Trucks,0,0,3698,0,0,0,0,0,0,0,0
05/01/1946,Trucks,0,0,4113,0,0,0,0,0,0,0,0
05/01/1946,Passenger cars,0,0,7919,0,0,0,0,0,0,0,0
05/01/1946,"Total, new motor vehicles",0,0,12032,0,0,0,0,0,0,0,0
06/01/1946,"Total, new motor vehicles",0,0,13388,0,0,0,0,0,0,0,0
06/01/1946,Passenger cars,0,0,8759,0,0,0,0,0,0,0,0
06/01/1946,Trucks,0,0,4629,0,0,0,0,0,0,0,0
07/01/1946,Trucks,0,0,5254,0,0,0,0,0,0,0,0
07/01/1946,Passenger cars,0,0,8451,0,0,0,0,0,0,0,0
07/01/1946,"Total, new motor vehicles",0,0,13705,0,0,0,0,0,0,0,0
08/01/1946,"Total, new motor vehicles",0,0,9753,0,0,0,0,0,0,0,0
08/01/1946,Passenger cars,0,0,6121,0,0,0,0,0,0,0,0
08/01/1946,Trucks,0,0,3632,0,0,0,0,0,0,0,0
09/01/1946,Trucks,0,0,3128,0,0,0,0,0,0,0,0
09/01/1946,Passenger cars,0,0,7026,0,0,0,0,0,0,0,0
09/01/1946,"Total, new motor vehicles",0,0,10154,0,0,0,0,0,0,0,0
10/01/1946,"Total, new motor vehicles",0,0,11462,0,0,0,0,0,0,0,0
10/01/1946,Passenger cars,0,0,7683,0,0,0,0,0,0,0,0
10/01/1946,Trucks,0,0,3779,0,0,0,0,0,0,0,0
11/01/1946,Trucks,0,0,3960,0,0,0,0,0,0,0,0
11/01/1946,Passenger cars,0,0,9537,0,0,0,0,0,0,0,0
11/01/1946,"Total, new motor vehicles",0,0,13497,0,0,0,0,0,0,0,0
12/01/1946,"Total, new motor vehicles",0,0,12689,0,0,0,0,0,0,0,0
12/01/1946,Passenger cars,0,0,8854,0,0,0,0,0,0,0,0
12/01/1946,Trucks,0,0,3835,0,0,0,0,0,0,0,0
01/01/1947,Trucks,0,0,4802,0,0,0,0,0,0,0,0
01/01/1947,Passenger cars,0,0,9175,0,0,0,0,0,0,0,0
01/01/1947,"Total, new motor vehicles",0,0,13977,0,0,0,0,0,0,0,0
02/01/1947,"Total, new motor vehicles",0,0,15806,0,0,0,0,0,0,0,0
02/01/1947,Passenger cars,0,0,10883,0,0,0,0,0,0,0,0
02/01/1947,Trucks,0,0,4923,0,0,0,0,0,0,0,0
03/01/1947,Trucks,0,0,5908,0,0,0,0,0,0,0,0
03/01/1947,Passenger cars,0,0,12329,0,0,0,0,0,0,0,0
03/01/1947,"Total, new motor vehicles",0,0,18237,0,0,0,0,0,0,0,0
04/01/1947,"Total, new motor vehicles",0,0,19176,0,0,0,0,0,0,0,0
04/01/1947,Passenger cars,0,0,12299,0,0,0,0,0,0,0,0
04/01/1947,Trucks,0,0,6877,0,0,0,0,0,0,0,0
05/01/1947,Trucks,0,0,6427,0,0,0,0,0,0,0,0
05/01/1947,Passenger cars,0,0,12678,0,0,0,0,0,0,0,0
05/01/1947,"Total, new motor vehicles",0,0,19105,0,0,0,0,0,0,0,0
06/01/1947,"Total, new motor vehicles",0,0,20688,0,0,0,0,0,0,0,0
06/01/1947,Passenger cars,0,0,14992,0,0,0,0,0,0,0,0
06/01/1947,Trucks,0,0,5696,0,0,0,0,0,0,0,0
07/01/1947,Trucks,0,0,5933,0,0,0,0,0,0,0,0
07/01/1947,Passenger cars,0,0,14763,0,0,0,0,0,0,0,0
